"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"LED3MM";"LED3MM";"LED1";"LEDs";"";
"1";"";"TAC_SWITCH_KSC931G-SMD";"TAC_SW_SMD_KSC931G";"S2";"Momentary Switch";"";
"1";"0.05R / 1W";"RR2512";"R2512";"R12";"RESISTOR, European symbol";"";
"1";"100K";"RESISTOR0805";"0805";"R62";"Generic Resistor Package";"";
"2";"100R";"RESISTOR0805";"0805";"R47, R48";"Generic Resistor Package";"";
"1";"100mR";"RESISTOR1206";"1206";"RSENSE";"Generic Resistor Package";"";
"34";"100n 50v X7R/X5R";"CAP0805";"0805";"C2, C4, C5, C6, C7, C8, C10, C12, C14, C16, C20, C22, C23, C24, C25, C27, C28, C29, C31, C32, C33, C34, C36, C44, C47, C48, C49, C50, C53, C55, C57, C58, C60, C66";"Capacitor";"";
"8";"10K";"RESISTOR0805";"0805";"R1, R11, R32, R39, R40, R42, R49, R66";"Generic Resistor Package";"";
"1";"10nF";"CAP0805";"0805";"C37";"Capacitor";"";
"4";"10uF 50V X5R/X7R";"CAP1206";"1206";"C26, C35, C43, C51";"Capacitor";"";
"1";"11K";"RESISTOR0805";"0805";"R3";"Generic Resistor Package";"";
"1";"130R";"RESISTOR0805";"0805";"R35";"Generic Resistor Package";"";
"1";"150K";"RESISTOR0805";"0805";"R37";"Generic Resistor Package";"";
"1";"16pF";"CAP0805";"0805";"C38";"Capacitor";"";
"1";"180K";"RESISTOR0805";"0805";"R7";"Generic Resistor Package";"";
"7";"1K";"RESISTOR0805";"0805";"R2, R19, R20, R25, R27, R46, R59";"Generic Resistor Package";"";
"1";"1K4";"RESISTOR0805";"0805";"R6";"Generic Resistor Package";"";
"8";"1uF 50V X7R";"CAP0805";"0805";"C9, C11, C13, C15, C45, C46, C54, C56";"Capacitor";"";
"1";"20021521-00010T1LF";"20021521-00010T1LF";"20021521-00010T1LF";"JP1";"MINITEK 127 SHROUDED HDR";"";
"1";"22K";"RESISTOR0805";"0805";"R10";"Generic Resistor Package";"";
"2";"22uF 10V X5R";"CAP0805";"0805";"C3, C62";"Capacitor";"";
"4";"22uF 25V X5R";"CAP1210";"1210";"C39, C40, C41, C42";"Capacitor";"";
"1";"25K";"RESISTOR0805";"0805";"R44";"Generic Resistor Package";"";
"2";"27K";"RESISTOR0805";"0805";"R36, R43";"Generic Resistor Package";"";
"2";"27R";"RESISTOR0805";"0805";"R38, R63";"Generic Resistor Package";"";
"2";"27p";"CAP0805";"0805";"C59, C61";"Capacitor";"";
"1";"2A NOM / 3.5A LIM";"PTC-";"1812L";"PTC1";"Positive Temperature Coefficient Resistor (PTC)";"";
"5";"2K2";"RESISTOR0805";"0805";"R13, R23, R52, R53, R54";"Generic Resistor Package";"";
"1";"2K8";"RESISTOR0805";"0805";"R5";"Generic Resistor Package";"";
"4";"2N7002PW";"MOSFET-NCHANNEL2N7002PW";"SOT323";"Q2, Q4, Q5, Q9";"Common NMOSFET Parts";"";
"1";"330K";"RESISTOR0805";"0805";"R41";"Generic Resistor Package";"";
"6";"330R";"RESISTOR0805";"0805";"R22, R26, R31, R33, R61, R99";"Generic Resistor Package";"";
"7";"33R";"RESISTOR0805";"0805";"R14, R17, R21, R24, R28, R29, R65";"Generic Resistor Package";"";
"1";"33n";"CAP0805";"0805";"C30";"Capacitor";"";
"1";"390K";"RESISTOR0805";"0805";"R51";"Generic Resistor Package";"";
